Time,estimated_positions
0.6206013,[5 4]
0.7232503,[53 44]
0.7667831,[54 45]
0.8254518,[54 45]
0.9223666,[54 45]
0.9733043,[54 45]
1.0233004,[54 45]
1.0685591,[54 45]
1.1186753,[54 45]
1.1613714,[54 45]
1.2113751,[54 45]
1.2794069,[54 45]
1.3214201,[716 526]
1.3639228,[716 526]
1.4119318,[716 526]
1.4555339,[716 526]
1.5034479,[716 526]
1.5565378,[716 526]
1.6097208,[716 526]
1.647514,[716 526]
1.6952282,[716 526]
1.7357357,[716 526]
1.7748534,[716 526]
1.8140752,[716 526]
1.8549079,[716 526]
1.9036101,[716 526]
1.9448426,[716 526]
1.9853452,[716 526]
2.0259319,[716 526]
2.071205,[716 526]
2.1157716,[716 526]
2.1626839,[716 526]
2.2112779,[716 526]
2.2512737,[716 526]
2.2924855,[716 526]
2.3321106,[716 526]
2.3746555,[716 526]
2.4117171,[716 526]
2.4586722,[716 526]
2.4982673,[716 526]
2.5508969,[716 526]
2.5962905,[716 526]
2.6414648,[716 526]
2.690737,[715 526]
2.7344652,[714 525]
2.7789841,[713 525]
2.8189906,[712 525]
2.8638163,[710 525]
2.9012036,[696 534]
2.9480573,[690 535]
2.9960774,[684 533]
3.0346273,[676 534]
3.0739968,[668 535]
3.1145202,[661 536]
3.158203,[653 535]
3.1965657,[645 536]
3.2427088,[640 536]
3.2814246,[636 535]
3.3253155,[632 536]
3.3653391,[628 535]
3.4084677,[622 534]
3.4476111,[616 534]
3.5057434,[591 533]
3.5453384,[584 531]
3.5891907,[577 530]
3.6317374,[573 528]
3.6782441,[572 529]
3.7243101,[569 530]
3.7644131,[567 530]
3.8082266,[566 529]
3.8483566,[562 528]
3.8938824,[560 528]
3.9294463,[561 519]
3.9743142,[560 528]
4.0137708,[562 528]
4.0565661,[564 529]
4.0975348,[566 530]
4.1429956,[568 530]
4.1909093,[572 531]
4.2300751,[574 532]
4.2765849,[579 533]
4.3145372,[600 536]
4.3608404,[608 537]
4.4067874,[616 537]
4.4525758,[625 538]
4.4999876,[635 539]
4.5485283,[645 539]
4.5966675,[652 539]
4.6429223,[660 539]
4.6937362,[686 537]
4.7314106,[692 536]
4.7799789,[700 533]
4.8263822,[705 526]
4.8633158,[708 533]
4.9039137,[711 532]
4.9512835,[712 532]
4.9967908,[714 526]
5.0373578,[716 526]
5.0816313,[717 526]
5.127705,[717 526]
5.1696003,[716 526]
5.2172731,[715 526]
5.2616599,[714 526]
5.310873,[712 526]
5.3645548,[710 526]
5.4089372,[709 526]
5.4467448,[710 526]
5.4962301,[708 479]
5.5362802,[707 484]
5.5777595,[705 526]
5.6222219,[706 526]
5.6617704,[706 526]
5.7081843,[705 525]
5.7474399,[705 526]
5.7901047,[703 525]
5.8290226,[702 525]
5.8773861,[701 525]
5.9146636,[694 526]
5.9587573,[693 526]
5.9996731,[688 533]
6.046097,[681 536]
6.0853314,[675 535]
6.1275824,[671 535]
6.1678777,[667 536]
6.2116376,[662 535]
6.259246,[656 534]
6.295737,[649 534]
6.3367665,[643 534]
6.378312,[612 534]
6.4172199,[603 533]
6.4647506,[595 533]
6.5049424,[591 532]
6.5461018,[587 531]
6.5844056,[580 530]
6.627945,[574 530]
6.6675693,[570 529]
6.7153628,[567 528]
6.7597162,[568 529]
6.7998492,[566 530]
6.8412161,[563 530]
6.8841467,[567 532]
6.9247794,[572 533]
6.9631957,[578 534]
7.0058671,[585 534]
7.0455365,[594 536]
7.0902228,[604 536]
7.1306275,[616 537]
7.1761776,[625 538]
7.2122436,[633 539]
7.2547442,[641 538]
7.2958648,[647 539]
7.3339505,[674 537]
7.3796771,[682 538]
7.4241444,[688 537]
7.4633995,[694 537]
7.5146653,[700 537]
7.5582481,[704 534]
7.5967389,[708 526]
7.6396722,[712 526]
7.6793499,[714 526]
7.7175963,[715 526]
7.7621146,[717 526]
7.8027449,[716 526]
7.8472417,[715 526]
7.8881355,[714 526]
7.9299251,[714 526]
7.9749766,[714 526]
8.0177861,[713 526]
8.0608932,[713 526]
8.0990041,[713 526]
8.1449035,[713 526]
8.1859354,[714 526]
8.2270054,[714 526]
8.2692081,[714 526]
8.3086574,[713 526]
8.3468899,[712 526]
8.3907456,[712 525]
8.4302149,[711 525]
8.4802587,[711 525]
8.5265831,[707 525]
8.5622771,[704 525]
8.6065383,[700 526]
8.6518339,[699 526]
8.6954455,[696 526]
8.7408895,[693 533]
8.7824103,[683 487]
8.8250026,[681 477]
8.8641601,[678 468]
8.9114735,[676 465]
8.9466339,[676 460]
8.9898479,[675 454]
9.0359871,[655 613]
9.086163,[644 610]
9.1295799,[638 607]
9.1783673,[639 605]
9.2222372,[637 602]
9.2626341,[636 601]
9.31063,[632 600]
9.3476077,[629 599]
9.3958458,[625 597]
9.4437453,[622 596]
9.4804843,[619 594]
9.5234414,[616 593]
9.5635232,[613 592]
9.6125507,[592 582]
9.6517273,[587 579]
9.6952359,[582 574]
9.742765,[576 571]
9.7800485,[571 566]
9.8280568,[567 561]
9.8696393,[561 555]
9.9112122,[556 550]
9.9541075,[552 546]
9.9971954,[548 540]
10.0429421,[532 517]
10.0861416,[528 512]
10.1258543,[526 508]
10.1632949,[523 503]
10.2119205,[520 499]
10.2545151,[517 496]
10.296698,[515 493]
10.3426456,[512 488]
10.3809755,[511 486]
10.4253585,[510 486]
10.4711513,[510 484]
10.5135157,[509 484]
10.5577826,[508 485]
10.6059285,[509 486]
10.6460909,[509 488]
10.6892548,[510 490]
10.7318866,[510 494]
10.7797384,[512 497]
10.8241702,[514 502]
10.8658341,[515 506]
10.9101922,[528 530]
10.9491961,[531 538]
10.9933544,[538 548]
11.0294508,[544 556]
11.0733678,[549 563]
11.1125156,[555 570]
11.1568778,[560 579]
11.1971009,[569 583]
11.2469018,[586 575]
11.2905258,[599 586]
11.3339846,[609 587]
11.3781268,[585 586]
11.4223727,[576 585]
11.4643584,[581 586]
11.5401231,[588 586]
11.5853,[596 587]
11.6293483,[605 587]
11.6815593,[587 589]
11.7330197,[583 591]
11.7779511,[585 592]
11.8226844,[592 592]
11.868514,[601 592]
11.9156892,[611 595]
11.9704815,[621 597]
12.0129357,[633 598]
12.0553278,[636 598]
12.0959268,[643 598]
12.1399646,[624 440]
12.1792189,[623 439]
12.2248833,[622 438]
12.2653258,[624 438]
12.3072171,[628 436]
12.3521381,[630 436]
12.3917537,[630 435]
12.428989,[629 434]
12.4740128,[636 431]
12.5156781,[637 431]
12.5578889,[1213  404]
12.6097558,[637 427]
12.6616023,[633 424]
12.7008824,[631 423]
12.7445388,[630 420]
12.7892946,[630 419]
12.8283255,[629 415]
12.877218,[625 408]
12.9239559,[625 406]
12.9781332,[625 403]
13.0166352,[624 402]
13.0579957,[622 400]
13.0957838,[621 398]
13.1391188,[621 398]
13.1793765,[620 396]
13.2191996,[620 396]
13.2646578,[619 395]
13.3095869,[618 395]
13.345843,[616 396]
13.3902713,[616 397]
13.4289255,[616 398]
13.4686032,[615 400]
13.5228652,[614 401]
13.5623468,[612 403]
13.6043417,[611 405]
13.6512331,[611 407]
13.6940097,[610 409]
13.7425267,[606 416]
13.7851885,[606 417]
13.8274396,[605 420]
13.8647935,[604 422]
13.9109389,[1204  358]
13.9499676,[602 425]
13.9910057,[601 426]
14.0301916,[601 426]
14.0794107,[599 426]
14.1229045,[601 425]
14.1639179,[606 422]
14.2080656,[630 622]
14.2492608,[627 618]
14.2939075,[627 616]
14.3296327,[627 614]
14.3714415,[628 610]
14.4171536,[626 603]
14.4578553,[623 595]
14.4948844,[617 586]
14.5411378,[613 571]
14.579367,[609 566]
14.623623,[606 563]
14.6629951,[605 559]
14.7119692,[615 538]
14.7553846,[621 537]
14.8022085,[626 538]
14.8448728,[633 539]
14.8896358,[640 539]
14.9301561,[648 539]
14.9724346,[655 539]
15.0132406,[662 538]
15.0578634,[670 538]
15.1004133,[677 537]
15.1444081,[709 534]
15.1889374,[712 535]
15.2281626,[714 526]
15.267218,[718 525]
15.3111821,[720 526]
15.349289,[721 525]
15.3900513,[721 525]
15.4326177,[722 526]
15.4743734,[721 526]
15.5192848,[721 525]
15.5659741,[718 532]
15.6107418,[717 535]
15.647144,[722 531]
15.692777,[723 533]
15.7300914,[723 526]
15.7735335,[723 525]
15.8160152,[721 525]
15.8578449,[719 525]
15.894801,[716 525]
15.9399509,[714 525]
15.9793018,[712 525]
16.0206362,[709 525]
16.0637431,[707 525]
16.1121155,[702 525]
16.1506589,[701 524]
16.1943353,[700 525]
16.2322351,[701 525]
16.2750688,[698 524]
16.3160341,[698 524]
16.3599766,[696 535]
16.3986736,[691 535]
16.445444,[685 534]
16.4936346,[679 534]
16.5364173,[659 536]
16.5794196,[656 536]
16.6217926,[656 536]
16.6657769,[657 537]
16.7319386,[657 537]
16.7718319,[657 537]
16.8117466,[656 536]
16.8488434,[657 536]
16.8924653,[657 536]
16.9291246,[656 536]
16.972084,[639 537]
17.0123445,[633 537]
17.0518564,[629 536]
17.096285,[625 535]
17.134873,[622 534]
17.1780175,[619 534]
17.2211319,[617 533]
17.2615414,[614 532]
17.3008746,[611 531]
17.3462134,[609 531]
17.3849828,[605 529]
17.4281799,[603 528]
17.471942,[602 526]
17.5115946,[588 523]
17.5555821,[584 521]
17.6013431,[581 517]
17.6446442,[577 515]
17.6860839,[573 512]
17.7306762,[572 512]
17.7797259,[570 511]
17.8223842,[566 509]
17.8613266,[562 506]
17.9026751,[556 500]
17.9466559,[545 495]
17.995142,[548 498]
18.031805,[553 502]
18.0760944,[558 507]
18.1224683,[563 511]
18.1613826,[568 515]
18.2047302,[576 520]
18.2475179,[583 524]
18.2944394,[590 527]
18.3378456,[596 529]
18.3847434,[620 532]
18.4274412,[629 535]
18.4729276,[637 536]
18.5206714,[641 537]
18.5603693,[644 537]
18.6042826,[646 537]
18.6528861,[648 537]
18.6960641,[650 537]
18.7367206,[652 537]
18.7792014,[667 536]
