Time,pixels_from_encoder,pixels_from_cv2
0.6206013,[[[646 537]]],"(0, 0)"
0.7232503,[[[646 537]]],"(0, 0)"
0.7667831,[[[646 537]]],"(0, 0)"
0.8254518,[[[646 537]]],"(0, 0)"
0.9223666,[[[646 537]]],"(0, 0)"
0.9733043,[[[646 537]]],"(0, 0)"
1.0233004,[[[646 537]]],"(0, 0)"
1.0685591,[[[646 537]]],"(0, 0)"
1.1186753,[[[646 537]]],"(0, 0)"
1.1613714,[[[646 537]]],"(0, 0)"
1.2113751,[[[646 537]]],"(0, 0)"
1.2794069,[[[646 537]]],"(0, 0)"
1.3214201,[[[646 537]]],"(723, 525)"
1.3639228,[[[646 537]]],"(723, 525)"
1.4119318,[[[646 537]]],"(723, 525)"
1.4555339,[[[646 537]]],"(723, 525)"
1.5034479,[[[646 537]]],"(723, 525)"
1.5565378,[[[646 537]]],"(723, 525)"
1.6097208,[[[646 537]]],"(723, 525)"
1.647514,[[[646 537]]],"(723, 525)"
1.6952282,[[[646 537]]],"(723, 525)"
1.7357357,[[[646 537]]],"(723, 525)"
1.7748534,[[[646 537]]],"(723, 525)"
1.8140752,[[[646 537]]],"(723, 525)"
1.8549079,[[[646 537]]],"(723, 525)"
1.9036101,[[[646 537]]],"(723, 525)"
1.9448426,[[[646 537]]],"(723, 525)"
1.9853452,[[[646 537]]],"(723, 525)"
2.0259319,[[[646 537]]],"(723, 525)"
2.071205,[[[646 537]]],"(723, 525)"
2.1157716,[[[646 537]]],"(723, 525)"
2.1626839,[[[646 537]]],"(723, 525)"
2.2112779,[[[646 537]]],"(723, 525)"
2.2512737,[[[646 537]]],"(723, 525)"
2.2924855,[[[646 537]]],"(723, 525)"
2.3321106,[[[646 537]]],"(723, 525)"
2.3746555,[[[646 537]]],"(723, 525)"
2.4117171,[[[646 537]]],"(723, 525)"
2.4586722,[[[646 537]]],"(723, 525)"
2.4982673,[[[646 537]]],"(723, 525)"
2.5508969,[[[646 537]]],"(723, 525)"
2.5962905,[[[646 537]]],"(723, 525)"
2.6414648,[[[646 537]]],"(723, 525)"
2.690737,[[[637 537]]],"(723, 525)"
2.7344652,[[[621 536]]],"(723, 525)"
2.7789841,[[[606 535]]],"(723, 525)"
2.8189906,[[[593 535]]],"(723, 525)"
2.8638163,[[[572 533]]],"(723, 525)"
2.9012036,[[[551 530]]],"(710, 535)"
2.9480573,[[[527 526]]],"(706, 536)"
2.9960774,[[[508 523]]],"(701, 535)"
3.0346273,[[[497 520]]],"(693, 536)"
3.0739968,[[[490 519]]],"(685, 537)"
3.1145202,[[[480 516]]],"(678, 538)"
3.158203,[[[470 514]]],"(670, 538)"
3.1965657,[[[460 511]]],"(663, 539)"
3.2427088,[[[443 506]]],"(659, 539)"
3.2814246,[[[424 500]]],"(656, 539)"
3.3253155,[[[405 493]]],"(653, 540)"
3.3653391,[[[380 484]]],"(651, 540)"
